SL NO.,Date,Year,Month,Month No.,Q-P1,S-P1,Price Per Product1,Q-P2,S-P2,Price Per Product2,Q-P3,S-P3,Price Per Product3,Q-P4,S-P4,Price Per Product4,Total Units Sold,Total Revenue,Quarter,Day Name,Rev/Unit,Top Product,Revenue Category,YoY Growth Flag
1,2010-06-13,2010,Jun,6,5422,17187.74,3.17,3725,23616.5,6.34,576,3121.92,5.42,907,6466.91,7.13,10630,50393.07,Q2,Sunday,4.740646284,Product2,Medium,Growth Year
2,2010-06-14,2010,Jun,6,7047,22338.99,3.17,779,4938.86,6.34,3578,19392.76,5.42,1574,11222.62,7.13,12978,57893.23,Q2,Monday,4.460874557,Product1,Medium,Growth Year
3,2010-06-15,2010,Jun,6,1572,4983.24,3.17,2082,13199.88,6.34,595,3224.9,5.42,1145,8163.85,7.13,5394,29571.87,Q2,Tuesday,5.482363737,Product2,Low,Growth Year
4,2010-06-16,2010,Jun,6,5657,17932.69,3.17,2399,15209.66,6.34,3140,17018.8,5.42,1672,11921.36,7.13,12868,62082.51,Q2,Wednesday,4.824565589,Product1,Medium,Growth Year
5,2010-06-17,2010,Jun,6,3668,11627.56,3.17,3207,20332.38,6.34,2184,11837.28,5.42,708,5048.04,7.13,9767,48845.26,Q2,Thursday,5.001050476,Product2,Medium,Growth Year
6,2010-06-18,2010,Jun,6,2898,9186.66,3.17,2539,16097.26,6.34,311,1685.62,5.42,1513,10787.69,7.13,7261,37757.23,Q2,Friday,5.200004132,Product2,Low,Growth Year
7,2010-06-19,2010,Jun,6,6912,21911.04,3.17,1470,9319.8,6.34,1576,8541.92,5.42,1608,11465.04,7.13,11566,51237.8,Q2,Saturday,4.430036313,Product1,Medium,Growth Year
8,2010-06-20,2010,Jun,6,5209,16512.53,3.17,2550,16167,6.34,3415,18509.3,5.42,842,6003.46,7.13,12016,57192.29,Q2,Sunday,4.759677929,Product3,Medium,Growth Year
9,2010-06-21,2010,Jun,6,6322,20040.74,3.17,852,5401.68,6.34,3646,19761.32,5.42,1377,9818.01,7.13,12197,55021.75,Q2,Monday,4.511088792,Product1,Medium,Growth Year
10,2010-06-22,2010,Jun,6,6865,21762.05,3.17,414,2624.76,6.34,3902,21148.84,5.42,562,4007.06,7.13,11743,49542.71,Q2,Tuesday,4.218914247,Product1,Medium,Growth Year
